2026-01-19 07:10:32,778 | ERROR    | exchange_manager | X bybit markets yüklenemedi: RateLimitExceeded: RateLimitExceeded('bybit GET https://api.bybit.com/v5/market/time 403 Forbidden <!DOCTYPE HTML PUBLIC "-//W3C//DTD HTML 4.01 Transitional//EN" "http://www.w3.org/TR/html4/loose.dtd">\n<HTML><HEAD><META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=iso-8859-1">\n<TITLE>ERROR: The request could not be satisfied</TITLE>\n</HEAD><BODY>\n<H1>403 ERROR</H1>\n<H2>The request could not be satisfied.</H2>\n<HR noshade size="1px">\nThe Amazon CloudFront distribution is configured to block access from your country.\nWe can\'t connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.\n<BR clear="all">\nIf you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.\n<BR clear="all">\n<HR noshade size="1px">\n<PRE>\nGenerated by cloudfront (CloudFront)\nRequest ID: qfFIv2viIxUfr79HyzJUDlC4l3KoStNtkw5YOSqsPRgeY6YzQCZBiA==\n</PRE>\n<ADDRESS>\n</ADDRESS>\n</BODY></HTML>')
2026-01-19 07:10:36,156 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 07:10:36,156 | INFO     | exchange_manager | Toplam 1 borsa hazir
2026-01-19 07:11:31,318 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 07:11:33,274 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 07:11:34,917 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 07:11:34,918 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 08:01:36,510 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 08:01:39,326 | INFO     | exchange_manager | OK bybit markets yüklendi (2564 market)
2026-01-19 08:01:41,805 | INFO     | exchange_manager | OK okx markets yüklendi (2449 market)
2026-01-19 08:01:41,805 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 17:04:22,428 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 17:04:24,441 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 17:04:26,243 | INFO     | exchange_manager | OK okx markets yüklendi (2335 market)
2026-01-19 17:04:26,243 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 17:19:40,026 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 17:19:42,576 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 17:19:44,829 | INFO     | exchange_manager | OK okx markets yüklendi (2335 market)
2026-01-19 17:19:44,830 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:23:15,536 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:23:18,352 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:23:20,629 | INFO     | exchange_manager | OK okx markets yüklendi (2335 market)
2026-01-19 18:23:20,630 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:24:03,366 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:24:05,849 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:24:07,941 | INFO     | exchange_manager | OK okx markets yüklendi (2335 market)
2026-01-19 18:24:07,941 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:28:24,960 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:28:26,984 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:28:28,783 | INFO     | exchange_manager | OK okx markets yüklendi (2337 market)
2026-01-19 18:28:28,784 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:29:36,906 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:29:39,101 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:29:40,873 | INFO     | exchange_manager | OK okx markets yüklendi (2337 market)
2026-01-19 18:29:40,873 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:32:10,792 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:32:13,670 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:32:15,778 | INFO     | exchange_manager | OK okx markets yüklendi (2337 market)
2026-01-19 18:32:15,779 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 18:38:31,569 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 18:38:33,967 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 18:38:35,877 | INFO     | exchange_manager | OK okx markets yüklendi (2337 market)
2026-01-19 18:38:35,878 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:26:38,743 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:26:41,366 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:26:43,179 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:26:43,179 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:29:54,193 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:29:56,968 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:29:58,752 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:29:58,752 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:34:21,426 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:34:23,611 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:34:25,407 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:34:25,407 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:35:48,227 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:35:50,628 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:35:52,453 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:35:52,454 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:39:40,537 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:39:42,724 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:39:44,507 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:39:44,507 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:40:12,274 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:40:14,615 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:40:16,446 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:40:16,446 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:51:14,202 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:51:16,549 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:51:18,570 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:51:18,570 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-19 23:54:24,691 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx
2026-01-19 23:54:27,130 | INFO     | exchange_manager | OK bybit markets yüklendi (2619 market)
2026-01-19 23:54:29,048 | INFO     | exchange_manager | OK okx markets yüklendi (2347 market)
2026-01-19 23:54:29,048 | INFO     | exchange_manager | Toplam 2 borsa hazir
2026-01-20 02:07:08,678 | INFO     | exchange_manager | Borsalar yukleniyor: bybit, okx, bingx
