2026-01-19 03:19:51,455 | INFO     | bot             | Bot basariyla baslatildi!
2026-01-19 03:19:51,455 | INFO     | bot             | ANA DONGU BASLADI!
2026-01-19 03:19:51,455 | INFO     | bot             | MAIN LOOP ICINDEYIM!
2026-01-19 03:19:51,456 | INFO     | bot             | ========== DONGU #1 ==========
2026-01-19 03:20:08,472 | INFO     | bot             | ========== DONGU #2 ==========
2026-01-19 03:20:15,847 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:20:16,669 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:20:26,681 | INFO     | bot             | ========== DONGU #3 ==========
2026-01-19 03:20:33,671 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:20:34,490 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
2026-01-19 03:24:23,650 | INFO     | bot             | Bot modu: fake_money
2026-01-19 03:24:23,650 | INFO     | bot             | Bot baslatiliyor...
2026-01-19 03:24:23,650 | INFO     | bot             | Database baslatiliyor...
2026-01-19 03:24:23,652 | INFO     | bot             | Borsalar baglaniyor...
2026-01-19 03:24:27,761 | INFO     | bot             | Bakiyeler yukleniyor...
2026-01-19 03:24:27,762 | INFO     | bot             | Orderbook yoneticisi baslatiliyor...
2026-01-19 03:24:27,763 | INFO     | bot             | Islem executor'i hazirlaniyor...
2026-01-19 03:24:27,763 | INFO     | bot             | Risk yoneticisi baslatiliyor...
2026-01-19 03:24:27,764 | INFO     | bot             | Performans takipcisi baslatiliyor...
2026-01-19 03:24:27,765 | INFO     | bot             | Stratejiler yukleniyor...
2026-01-19 03:24:27,765 | INFO     | bot             |   Spot Arbitrage stratejisi aktif
2026-01-19 03:24:27,765 | INFO     | bot             |   Triangular Arbitrage stratejisi aktif
2026-01-19 03:24:27,766 | INFO     | bot             | Baslangic bakiyesi: $250.00
2026-01-19 03:24:27,766 | INFO     | bot             | Bot basariyla baslatildi!
2026-01-19 03:24:27,767 | INFO     | bot             | ANA DONGU BASLADI!
2026-01-19 03:24:27,767 | INFO     | bot             | MAIN LOOP ICINDEYIM!
2026-01-19 03:24:27,768 | INFO     | bot             | ========== DONGU #1 ==========
2026-01-19 03:24:36,357 | INFO     | bot             |   1 firsat bulundu
2026-01-19 03:24:37,157 | WARNING  | bot             | ❌ Islem basarisiz: Net kar negatif
